model,default,variant,spike,argmax,argmax_prob,coverage,error
gpt_5.4,18,V0_true,0.9646004934717767,18,0.9646004934717767,0.9822677677821006,
gpt_5.4,18,V1,0.8774951077022218,18,0.8774951077022218,0.9962511566418439,
gpt_5.4,18,V2,0.18240554033702988,30,0.8174849164975758,0.9998904568346056,
gpt_5.4,18,V3,0.9399005556540118,18,0.9399005556540118,0.9999863879239688,
gpt_5.4,18,V4,0.1726493509062874,30,0.7737607089576696,0.9958749270734065,
gpt_5.4,26,V0_true,0.2688631253841171,30,0.7308457480743514,0.9997088734584685,
gpt_5.4,26,V1,0.880667448043336,26,0.880667448043336,0.9998528265615457,
gpt_5.4,26,V2,0.5000236030440901,26,0.5000236030440901,1.0000472060881802,
gpt_5.4,26,V3,0.3774088224004215,30,0.6222419532414619,0.9996507756418834,
gpt_5.4,26,V4,,,,,"API call failed: litellm.RateLimitError: RateLimitError: OpenAIException - Flex does not have sufficient resources available to fulfill your request. You can try again later in case more resources are available, or change service_tier=default. Visit the docs at https://platform.openai.com/docs/guides/flex-processing to learn more."
gpt_5.4_mini,18,V0_true,0.9116607568878725,18,0.9116607568878725,0.9974710486486266,
gpt_5.4_mini,18,V1,0.9938809502083923,18,0.9938809502083923,0.9938809502083923,
gpt_5.4_mini,18,V2,0.6135632121416169,18,0.6135632121416169,0.9857081119772743,
gpt_5.4_mini,18,V3,0.9736282039121397,18,0.9736282039121397,0.9875162643531412,
gpt_5.4_mini,18,V4,0.9536535448908385,18,0.9536535448908385,0.9985091082976884,
gpt_5.4_mini,26,V0_true,0.9045523541131862,26,0.9045523541131862,0.9836514838386233,
gpt_5.4_mini,26,V1,0.9912381045175476,26,0.9912381045175476,0.9912381045175476,
gpt_5.4_mini,26,V2,,,,,"API call failed: litellm.RateLimitError: RateLimitError: OpenAIException - Flex does not have sufficient resources available to fulfill your request. You can try again later in case more resources are available, or change service_tier=default. Visit the docs at https://platform.openai.com/docs/guides/flex-processing to learn more."
gpt_5.4_mini,26,V3,,,,,"API call failed: litellm.RateLimitError: RateLimitError: OpenAIException - Flex does not have sufficient resources available to fulfill your request. You can try again later in case more resources are available, or change service_tier=default. Visit the docs at https://platform.openai.com/docs/guides/flex-processing to learn more."
gpt_5.4_mini,26,V4,0.6662096835215219,26,0.6662096835215219,0.9809048551292656,
gpt_5.4_nano,18,V0_true,0.7269737049213975,18,0.7269737049213975,0.919973631083299,
gpt_5.4_nano,18,V1,0.9450446083772965,18,0.9450446083772965,0.9852553188079505,
gpt_5.4_nano,18,V2,0.9596839759178197,18,0.9596839759178197,0.9924119018667574,
gpt_5.4_nano,18,V3,0.9907205781823959,18,0.9907205781823959,0.9972791242899066,
gpt_5.4_nano,18,V4,0.582046470070366,18,0.582046470070366,0.8415413375383913,
gpt_5.4_nano,26,V0_true,0.3334677821716005,26,0.3334677821716005,0.8297453190284237,
gpt_5.4_nano,26,V1,0.8570838123636447,26,0.8570838123636447,0.974540591694776,
gpt_5.4_nano,26,V2,0.7083163959050739,26,0.7083163959050739,0.9472669783225536,
gpt_5.4_nano,26,V3,0.9956746860597294,26,0.9956746860597294,0.998343814518616,
gpt_5.4_nano,26,V4,0.3023285612171281,26,0.3023285612171281,0.8577822865423121,
