model,generation,q1_answer,q1_correct,q2_answer,q2_correct,q3_answer,q3_correct,q4_answer,q4_correct,q5_answer,q5_correct,q6_answer,q6_correct,q7_answer,q7_correct,fraction_correct,notes,raw_response
gpt_5.4,5,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,6,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,7,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,8,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,9,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,10,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,11,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,12,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,13,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,14,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,15,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,16,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,17,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,18,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4,19,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_mini,0,,,,,,,,,,,,,,,,"call failed: litellm.RateLimitError: RateLimitError: OpenAIException - Flex does not have sufficient resources available to fulfill your request. You can try again later in case more resources are available, or change service_tier=default. Visit the docs at https://platform.openai.com/docs/guides/flex-processing to learn more.",
gpt_5.4_mini,1,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_mini,2,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_mini,3,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_mini,4,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_mini,5,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_mini,6,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_mini,7,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_mini,8,,,,,,,,,,,,,,,,"call failed: litellm.RateLimitError: RateLimitError: OpenAIException - Flex does not have sufficient resources available to fulfill your request. You can try again later in case more resources are available, or change service_tier=default. Visit the docs at https://platform.openai.com/docs/guides/flex-processing to learn more.",
gpt_5.4_mini,9,,,,,,,,,,,,,,,,"call failed: litellm.RateLimitError: RateLimitError: OpenAIException - Flex does not have sufficient resources available to fulfill your request. You can try again later in case more resources are available, or change service_tier=default. Visit the docs at https://platform.openai.com/docs/guides/flex-processing to learn more.",
gpt_5.4_mini,10,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_mini,11,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_mini,12,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_mini,13,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_mini,14,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_mini,15,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_mini,16,,,,,,,,,,,,,,,,"call failed: litellm.RateLimitError: RateLimitError: OpenAIException - Flex does not have sufficient resources available to fulfill your request. You can try again later in case more resources are available, or change service_tier=default. Visit the docs at https://platform.openai.com/docs/guides/flex-processing to learn more.",
gpt_5.4_mini,17,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_mini,18,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_mini,19,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,0,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,1,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,2,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,3,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,4,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,5,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,6,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,7,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,8,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,9,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,10,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,11,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,12,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,13,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,14,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,15,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,16,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,17,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,18,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
gpt_5.4_nano,19,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,0,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,1,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,2,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,3,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,4,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,5,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,6,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,7,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,8,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,9,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,10,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,11,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,12,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,13,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,14,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,15,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,16,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,17,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,18,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Llama_3.3_70B_Instruct,19,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,0,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,1,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,2,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,3,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,4,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,5,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,6,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,7,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,8,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,9,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,10,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,11,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,12,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,13,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,14,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,15,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,16,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,17,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,18,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
Qwen3_235B_A22B_Instruct,19,4.0,True,50.0,True,10.0,True,100.0,True,D,True,No,True,10.0,True,1.0,,"1: 4
2: 50
3: 10
4: 100
5: D
6: No
7: 10"
